,QueryNumber,R_Precision
0,1,0.027160493827160494
1,2,0.005761316872427984
2,3,0.03539094650205761
3,4,0.007407407407407408
4,5,0.10617283950617284
5,6,0.019753086419753086
6,7,0.023045267489711935
7,8,0.01810699588477366
8,9,0.00823045267489712
9,10,0.01810699588477366
10,11,0.01728395061728395
11,12,0.005761316872427984
12,13,0.019753086419753086
13,14,0.044444444444444446
14,15,0.0823045267489712
15,16,0.145679012345679
16,17,0.044444444444444446
17,18,0.01728395061728395
18,19,0.01810699588477366
19,20,0.03621399176954732
20,21,0.0205761316872428
21,22,0.05761316872427984
22,23,0.02880658436213992
23,24,0.024691358024691357
24,25,0.04197530864197531
25,26,0.027160493827160494
26,27,0.00905349794238683
27,28,0.03950617283950617
28,29,0.03539094650205761
29,30,0.012345679012345678
30,31,0.044444444444444446
31,32,0.023045267489711935
32,33,0.04609053497942387
33,34,0.031275720164609055
34,35,0.011522633744855968
35,36,0.007407407407407408
36,37,0.07983539094650206
37,38,0.04197530864197531
38,39,0.12757201646090535
39,40,0.11851851851851852
40,41,0.012345679012345678
41,42,0.037037037037037035
42,43,0.07983539094650206
43,44,0.11275720164609053
44,45,0.01646090534979424
45,46,0.014814814814814815
46,47,0.04938271604938271
47,48,0.023868312757201648
48,49,0.02962962962962963
49,50,0.0205761316872428
50,51,0.19588477366255144
51,52,0.0016460905349794238
52,53,0.01728395061728395
53,54,0.050205761316872426
54,55,0.019753086419753086
55,56,0.024691358024691357
56,57,0.04197530864197531
57,58,0.07654320987654321
58,59,0.1176954732510288
59,60,0.027983539094650206
60,61,0.05596707818930041
61,62,0.1168724279835391
62,63,0.030452674897119343
63,64,0.0411522633744856
64,65,0.07489711934156379
65,66,0.05102880658436214
66,67,0.010699588477366255
67,68,0.03621399176954732
68,69,0.011522633744855968
69,70,0.012345679012345678
70,71,0.0049382716049382715
71,72,0.010699588477366255
72,73,0.012345679012345678
73,74,0.005761316872427984
74,75,0.015637860082304528
75,76,0.013991769547325103
76,77,0.06502057613168724
77,78,0.06172839506172839
78,79,0.0345679012345679
79,80,0.02633744855967078
80,81,0.02139917695473251
81,82,0.048559670781893
82,83,0.02633744855967078
83,84,0.01316872427983539
84,85,0.02551440329218107
85,86,0.03621399176954732
86,87,0.030452674897119343
87,88,0.011522633744855968
88,89,0.013991769547325103
89,90,0.02139917695473251
90,91,0.24444444444444444
91,92,0.09382716049382717
92,94,0.0345679012345679
93,95,0.007407407407407408
94,96,0.009876543209876543
95,97,0.00905349794238683
96,98,0.012345679012345678
97,99,0.00411522633744856
98,100,0.00823045267489712
